Aircraft,Date of Departure,From (US City),To (US City),Departure Airport,Arrival Airport,Flight Number,Departure Time,Arrival Time,Status
Boeing 737-800,2025-01-03,Raleigh,Fort Worth,Raleigh-Durham International Airport,Dallas/Fort Worth International Airport,F97954,21:50,00:36,Departed
Airbus A220-300,2025-07-28,Las Vegas,Charlotte,Harry Reid International Airport,Charlotte Douglas International Airport,UA8462,08:30,11:05,Landed
Embraer E175,2025-08-25,New York,El Paso,John F. Kennedy International Airport,El Paso International Airport,NK8325,22:25,00:14,On Time
Boeing 737-800,2025-10-19,Las Vegas,San Antonio,Harry Reid International Airport,San Antonio International Airport,B6643,14:45,16:04,Landed
Boeing 757-200,2025-06-26,Portland,Columbus,Portland International Airport,John Glenn Columbus International Airport,DL9255,20:45,22:41,On Time
Boeing 737-800,2025-05-20,Denver,Los Angeles,Denver International Airport,Los Angeles International Airport,UA1138,17:10,22:34,Boarding
Boeing 777-200,2025-02-28,Orlando,Philadelphia,Orlando International Airport,Philadelphia International Airport,B62031,23:30,01:06,Landed
Airbus A321,2025-03-15,Chicago,Miami,O'Hare International Airport,Miami International Airport,AA4872,06:15,10:48,On Time
Airbus A319,2025-09-11,Seattle,Boston,Seattle-Tacoma International Airport,Logan International Airport,AS3301,11:00,19:22,Delayed
CRJ-900,2025-11-04,Atlanta,Nashville,Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,DL7743,08:05,09:10,On Time
